payment_id,model_type,model_id,stored_amount,share,payment_amount,drift,payment_reference,status,state,created_at,payment_updated_at
956987,Invoice,1019578,31.92,1,32.64,-0.72,cu-535973-bal-WLyOZkE0pe,success,completed,2025-07-30 07:42:05+00,2025-08-28 00:08:22+00
957021,Invoice,1019600,18.36,1,20.88,-2.52,cu-553528-bal-01nUibcMdX,success,completed,2025-07-30 08:23:59+00,2025-08-28 00:08:22+00
957082,Invoice,1019858,15.42,1,18.50,-3.08,80C16745X6049433R,success,completed,2025-07-30 13:02:24+00,2025-08-28 00:08:22+00
957506,Invoice,1020298,34.35,1,36.65,-2.30,67665643P5006480X,success,completed,2025-07-31 13:49:54+00,2025-08-28 00:08:23+00
958525,Invoice,1020755,10.84,1,12.04,-1.20,pay_uney6iom7omefhmpfn2gglxriq,success,completed,2025-08-04 09:32:40+00,2025-08-28 00:08:23+00
958625,Invoice,1021525,39.41,1,43.78,-4.37,pay_3lmwt5my2h4une4i3k7gsr4y2m,success,completed,2025-08-06 08:33:52+00,2025-08-28 00:08:23+00
958668,Invoice,1020991,31.31,1,32.03,-0.72,cu-535973-bal-1Ai7R7L24c,success,completed,2025-08-04 14:02:10+00,2025-08-28 00:08:23+00
960744,Invoice,1022788,8.87,1,10.07,-1.20,pay_kvco4hok5dbediebxn7u5fstai,success,completed,2025-08-11 13:51:34+00,2025-08-28 00:08:24+00
960809,Invoice,1022882,11.09,1,17.64,-6.55,pay_3utkl7ix2mpudbfnp24hbvwgma,success,completed,2025-08-12 07:35:39+00,2025-08-28 00:08:24+00
961194,Invoice,1023247,8.40,1,9.60,-1.20,pay_zeon4z4he25evildvjt6yblsky,success,completed,2025-08-12 14:15:40+00,2025-08-28 00:08:24+00
961418,Invoice,1023315,7.37,1,8.57,-1.20,pay_2oaego5fplzunb4w67xsrgmvyq,success,completed,2025-08-13 07:40:23+00,2025-08-28 00:08:24+00
961879,Invoice,1023609,154.97,1,171.70,-16.73,pay_g65iztejxddehniqffln572mde,success,completed,2025-08-13 13:15:47+00,2025-08-28 00:08:24+00
962153,Invoice,1025923,0.00,1,15.58,-15.58,pay_r3t3maho3aeejco7c7b36rmtza,success,completed,2025-08-22 09:56:12+00,2025-08-28 00:08:24+00
962173,Invoice,1023783,12.67,1,13.87,-1.20,pay_6imrqn6ivhnuhpo3cvlha23aga,success,completed,2025-08-14 10:03:22+00,2025-08-28 00:08:24+00
962214,Invoice,1023790,6.95,1,8.15,-1.20,pay_5ag4iffww7pebjm7e56cv2xv64,success,completed,2025-08-14 10:14:28+00,2025-08-28 00:08:24+00
962433,Invoice,1024217,13.19,1,19.04,-5.85,pay_urzm2dlzvhguldv2xdzzenjqcy,success,completed,2025-08-15 12:37:44+00,2025-08-28 00:08:24+00
962801,Invoice,1024429,7.19,1,8.15,-0.96,cu-512348-bal-4pMDe6evlv,success,completed,2025-08-18 10:31:53+00,2025-08-28 00:08:24+00
962896,Invoice,1024413,30.06,1,34.55,-4.49,pay_xoiy3y75fodene2kaehcub4fhi,success,completed,2025-08-18 10:14:21+00,2025-08-28 00:08:24+00
962902,Invoice,1024501,15.47,1,16.55,-1.08,pay_rk5jjegvg4nu5hvtd7qq4azwna,success,completed,2025-08-18 11:44:50+00,2025-08-28 00:08:24+00
963262,Invoice,1025160,28.24,1,31.68,-3.44,pay_zl7mfp6eqdvedf4vt24luri4ou,success,completed,2025-08-20 10:41:38+00,2025-08-28 00:08:24+00
963482,Invoice,1024902,8.94,1,19.64,-10.70,pay_oyc42zv44zauxdqtlyq66snmxi,success,completed,2025-08-19 12:58:51+00,2025-08-28 00:08:25+00
963823,Invoice,1025091,40.40,1,46.08,-5.68,pay_ytv4nngs37kuxlufe6jicuijqy,success,completed,2025-08-20 10:02:08+00,2025-08-28 00:08:25+00
964412,Invoice,1025572,16.72,1,17.68,-0.96,pay_vrjjp6elnleunkpz5b4g3wdbhi,success,completed,2025-08-21 10:32:00+00,2025-08-28 00:08:25+00
964844,Invoice,1031696,66.49,1,70.79,-4.30,pay_pft4npx3zprujjyfmm2poyz4vi,success,completed,2025-09-12 11:10:20+00,2025-08-22 09:46:26+00
965136,Invoice,1027227,213.62,1,218.15,-4.53,pay_6nnsri3tjltuxbugo4duhci2vm,success,completed,2025-08-27 13:58:48+00,2025-08-28 00:08:25+00
965374,Invoice,1026732,7.84,1,9.04,-1.20,pay_wp35jcvgnnee7p5knecrxlb564,success,completed,2025-08-26 13:33:58+00,2025-08-28 00:08:25+00
965377,Invoice,1027765,48.26,1,49.79,-1.53,pay_mm5em4mdworudjr3cio6qgzfsu,success,completed,2025-08-29 07:28:47+00,2025-08-25 00:19:35+00
965690,Invoice,1027009,8.69,1,9.89,-1.20,pay_3g6vvcwvaspura7nriui5a5rqa,success,completed,2025-08-27 10:37:30+00,2025-08-28 00:08:25+00
965836,Invoice,1027337,66.86,1,71.06,-4.20,pay_kupaofaavgvehe5xfxswwmczta,success,completed,2025-08-28 07:54:46+00,2025-08-26 08:40:59+00
967025,Invoice,1028310,3.59,1,17.32,-13.73,cu-535973-bal-iOIvbRnUHv,success,completed,2025-09-01 09:35:31+00,2025-08-28 15:40:50+00
967501,Invoice,1029084,22.61,1,25.85,-3.24,pay_4b3ky65w5ptetmaabk4mmbhpwu,success,completed,2025-09-02 14:17:56+00,2025-08-30 11:20:44+00
967628,Invoice,1028543,92.63,1,100.66,-8.03,pay_feqhpaddxdjulbg4dl5sbfhk7m,success,completed,2025-09-01 13:29:44+00,2025-08-31 11:03:35+00
967730,Invoice,1028970,159.49,1,174.13,-14.64,pay_lwvuvqzrvdbu7fvix76ez4gsly,success,completed,2025-09-02 11:49:53+00,2025-08-31 19:42:27+00
967731,Invoice,1028970,-14.64,1,18.82,-33.46,cu-433015-bal-kFXhwouHHk,success,completed,2025-09-02 11:49:53+00,2025-08-31 19:42:27+00
967771,Invoice,1028518,40.98,1,48.97,-7.99,pay_4u5gaewfvqourjzw253akiepqq,success,completed,2025-09-01 13:01:35+00,2025-08-31 23:13:01+00
967832,Invoice,1029220,21.56,1,31.52,-9.96,pay_sj4pheii6cburi3ziii74mwv4m,success,completed,2025-09-03 09:16:28+00,2025-09-01 06:47:49+00
968773,Invoice,1030684,32.36,1,37.28,-4.92,pay_c5rz5mpg4m2ujip25ndbuydsfi,success,completed,2025-09-09 11:54:46+00,2025-09-03 08:33:06+00
968999,Invoice,1029792,9.65,1,11.06,-1.41,pay_ry73f7oqd7xurho4sih6njzuoe,success,completed,2025-09-04 12:19:15+00,2025-09-03 11:32:50+00
970186,Invoice,1030730,9.37,1,29.69,-20.32,pay_gq732htz75ouvbqumw4aicqy5e,success,completed,2025-09-09 13:49:35+00,2025-09-07 14:33:32+00
970300,Invoice,1030339,26.85,1,30.13,-3.28,pay_sq76v6qdtr6ubmcfwjmgrxsnqu,success,completed,2025-09-08 08:56:30+00,2025-09-08 06:05:38+00
970531,Invoice,1031245,7.19,1,141.30,-134.11,pay_sfu4kclth76u7nkfuuj7oik4ui,success,completed,2025-09-10 10:49:07+00,2025-09-08 13:16:49+00
971319,Invoice,1031242,16.00,1,24.01,-8.01,pay_4wxsyllfzjdediaxis3ub6e37q,success,completed,2025-09-10 10:47:27+00,2025-09-10 09:14:02+00
971581,Invoice,1031511,9.31,1,10.51,-1.20,pay_mnl5qtz3wqlehflpewhen2n3fq,success,completed,2025-09-11 08:21:52+00,2025-09-10 19:46:12+00
971757,Invoice,1031627,22.93,1,25.23,-2.30,pay_htnvodbumdvulo57hkluh3ern4,success,completed,2025-09-12 06:11:46+00,2025-09-11 11:18:42+00
971788,Invoice,1031670,7.91,1,9.11,-1.20,cu-549221-bal-uohXtR0trF,success,completed,2025-09-12 09:29:22+00,2025-09-11 15:23:41+00
971804,Invoice,1031668,7.37,1,8.57,-1.20,cu-512348-bal-Z7hCT4SYhE,success,completed,2025-09-12 09:25:20+00,2025-09-11 19:58:32+00
971891,Invoice,1028177,54.59,1,54.99,-0.40,1717538621,success,completed,2025-09-13 10:04:28+00,2025-09-13 10:04:28+00
971913,Invoice,1032362,9.17,1,10.17,-1.00,pay_2flpycuagbgelhlosc74fmqtf4,success,completed,2025-09-16 07:39:58+00,2025-10-02 10:30:47+00
971949,Invoice,1032302,7.52,1,8.51,-0.99,pay_pvdkpe2sdjfendmeojftq2au4u,success,completed,2025-09-15 12:09:50+00,2025-09-14 12:52:25+00
971958,Invoice,1032273,4.82,1,8.68,-3.86,cu-202534-bal-TtmMJuix4W,success,completed,2025-09-15 11:42:48+00,2025-09-14 14:40:25+00
971974,Invoice,1032287,10.45,1,11.65,-1.20,pay_632hxibf2guu3fvwlhvqmo6rhi,success,completed,2025-09-15 11:54:21+00,2025-09-14 18:52:02+00
971976,Invoice,1032314,10.13,1,11.09,-0.96,pay_ip227jevr2eephs63qib2rpbhi,success,completed,2025-09-15 12:56:22+00,2025-09-14 19:10:00+00
972349,Invoice,1032456,69.32,1,71.33,-2.01,pay_ctvgqlu5gfke7dm7c5ac2g5bme,success,completed,2025-09-16 13:17:28+00,2025-09-15 13:56:25+00
972447,Invoice,1032473,9.65,1,14.45,-4.80,pay_cnsfqjfzb4ouhh4bmtqaclpqk4,success,completed,2025-09-17 07:45:07+00,2025-09-16 15:42:27+00
972448,Invoice,1032474,11.93,1,16.73,-4.80,pay_oei7dhi7636urjim2wbhbeqtpq,success,completed,2025-09-17 07:45:53+00,2025-10-02 14:51:12+00
972449,Invoice,1032475,11.22,1,16.02,-4.80,pay_pejuazxcxylexljlz7ql3fhv4y,success,completed,2025-09-17 07:46:45+00,2025-09-16 15:49:16+00
972450,Invoice,1032476,13.51,1,18.31,-4.80,pay_q2gv2ak3nytevofc3qqyzcsody,success,completed,2025-09-17 07:47:34+00,2025-09-16 15:52:32+00
972463,Invoice,1034741,53.07,1,412.57,-359.50,pay_xgaw5dojbgqupppr3a663uk3da,success,completed,2025-09-23 11:48:28+00,2025-09-16 20:22:27+00
972464,Invoice,1034741,-359.50,1,11.52,-371.02,cu-185349-bal-oQonBToUgp,success,completed,2025-09-23 11:48:28+00,2025-09-16 20:22:27+00
972478,Invoice,1032495,13.42,1,18.22,-4.80,pay_5vnwmtbeqv2upmbd735qqe7alm,success,completed,2025-09-17 08:32:09+00,2025-09-17 07:21:01+00
972484,Invoice,1032494,28.76,1,33.56,-4.80,pay_kejzy3ggku4etktnuwakoh3sfu,success,completed,2025-09-17 08:30:10+00,2025-09-17 07:43:51+00
973460,Invoice,1033280,30.47,1,34.29,-3.82,pay_ijwhp2fqwpvuzd6nw4savnhfti,success,completed,2025-09-18 11:49:36+00,2025-09-18 09:19:07+00
973461,Invoice,1033280,-3.82,1,7.68,-11.50,cu-239244-bal-0OggxrJQJH,success,completed,2025-09-18 11:49:36+00,2025-09-18 09:19:07+00
973788,Invoice,1034066,11.05,1,11.63,-0.58,pay_7hmv2ygqaa7ejmukhdepx5tnfu,success,completed,2025-09-22 09:05:13+00,2025-09-19 08:42:11+00
974782,Invoice,1034143,30.58,1,39.20,-8.62,pay_di7lob6hoy7eddfrzajxfbhuqm,success,completed,2025-09-22 09:56:33+00,2025-09-20 21:01:32+00
975116,Invoice,1034729,39.79,1,41.34,-1.55,pay_prn4esum7eoullqzuu22g6pnza,success,completed,2025-09-23 11:43:45+00,2025-09-22 09:20:43+00
981327,Invoice,1039536,89.85,1,89.95,-0.10,pay_p7f4zue2ns7erapxzdgbxzdkiu,success,completed,2025-10-08 12:23:40+00,2025-10-15 13:49:03+00
984736,Invoice,1042179,14.99,1,15.00,-0.01,pay_pyuw64izy22utdykjj35tii5uu,success,completed,2025-10-16 11:39:06+00,2025-10-21 09:55:18+00
986508,Invoice,1043737,9.71,1,9.74,-0.03,pay_qarzwwtoc4lelcmvpyvnoa3b3e,success,completed,2025-10-21 13:26:32+00,2025-10-30 11:59:13+00
1018278,Invoice,1069409,784.22,1,770.54,13.68,EU42831,success,completed,2025-12-19 10:58:15+00,2025-12-19 10:58:29+00
1034816,Invoice,1082293,-88.28,1,-9.07,-79.21,cu-01KGSERZ3Y50CGX1NZ1R4AK1PT,success,completed,2026-02-06 12:28:05+00,2026-02-06 12:28:05+00
1042625,Invoice,1088426,582.20,1,73.35,508.85,cu-677619-bal-yR8ZLaOaDd,success,completed,2026-02-27 11:12:12+00,2026-02-27 10:03:38+00
1082106,Invoice,1122399,21.37,1,21.27,0.10,pay_gqe4ohabtvdinlfqbbhubwlbna,success,completed,2026-06-16 13:12:10+00,2026-06-25 09:03:09+00
1105648,Invoice,1143193,956.66,1,949.48,7.18,EU46753,success,completed,2026-08-20 13:46:50+00,2026-08-26 08:00:46+00
893583,Order,1132273,704.84,1,696.20,8.64,GB541764,success,completed,2025-01-02 20:26:14+00,2025-03-03 19:03:30+00
906147,Order,1144962,338.58,1,333.91,4.67,GB544247,success,completed,2025-02-14 00:15:05+00,2025-03-03 19:04:27+00
909774,Order,1149175,649.51,1,649.50,0.01,TEV9N6SMCF,success,completed,2025-02-26 13:22:41+00,2025-03-03 19:04:42+00
922153,Order,1160625,31.22,1,53.00,-21.78,pay_d5bjiylnn7yu7ehnqdijl7aj2q,success,completed,2025-04-03 06:31:50+00,2025-04-09 08:58:55+00
923855,Order,1163941,670.77,1,677.01,-6.24,FP53881444744363,success,completed,2025-04-09 09:14:25+00,2025-04-10 07:08:36+00
932179,Order,1172601,35.89,1,35.28,0.61,pay_rtptnukdnuxuzi3tmxfhzqvb5a,success,completed,2025-05-07 08:46:05+00,2025-05-22 14:16:10+00
939175,Order,1179523,21.42,1,21.45,-0.03,TAAAU3KVRNT,success,completed,2025-05-30 15:00:13+00,2025-06-06 12:51:07+00
939796,Order,1146529,575.70,1,559.22,16.48,AR14531,success,completed,2025-06-02 12:05:34+00,2025-06-04 10:31:06+00
945357,Order,1184970,-502.44,1,502.44,-1004.88,42217,success,cancelled,2025-06-19 13:18:15+00,2025-07-03 15:00:19+00
951354,Order,1191100,179.00,1,152.66,26.34,pay_y3bpfrsnzmaelay4m3boaqmipy,success,completed,2025-07-09 12:05:24+00,2025-07-11 11:27:15+00
963645,Order,1193687,449.52,1,214.81,234.71,1680778357,success,completed,2025-08-19 13:47:20+00,2025-09-22 08:48:04+00
981327,Order,1222058,89.85,1,89.95,-0.10,pay_p7f4zue2ns7erapxzdgbxzdkiu,success,completed,2025-10-08 12:24:52+00,2025-10-15 13:49:03+00
984736,Order,1208190,14.99,1,15.00,-0.01,pay_pyuw64izy22utdykjj35tii5uu,success,completed,2025-10-16 11:39:03+00,2025-10-21 09:55:18+00
986508,Order,1226562,9.71,1,9.74,-0.03,pay_qarzwwtoc4lelcmvpyvnoa3b3e,success,completed,2025-10-21 13:26:37+00,2025-10-30 11:59:13+00
1034816,Order,1160859,-88.28,1,-9.07,-79.21,cu-01KGSERZ3Y50CGX1NZ1R4AK1PT,success,completed,2026-02-06 12:28:05+00,2026-02-06 12:28:05+00
1042625,Order,1282629,582.20,1,73.35,508.85,cu-677619-bal-yR8ZLaOaDd,success,completed,2026-02-27 10:03:38+00,2026-02-27 10:03:38+00
1082106,Order,1315468,21.37,1,21.27,0.10,pay_gqe4ohabtvdinlfqbbhubwlbna,success,completed,2026-06-16 08:47:16+00,2026-06-25 09:03:09+00
1105648,Order,1341405,956.66,1,949.48,7.18,EU46753,success,completed,2026-08-17 11:21:24+00,2026-08-26 08:00:46+00
1109481,Order,1350102,1474.64,1,1461.16,13.48,EU47118,success,completed,2026-08-25 11:14:56+00,2026-08-27 09:37:16+00
1112017,Order,1352536,158.17,1,151.23,6.94,151.23,success,completed,2026-09-01 07:16:28+00,2026-09-01 07:17:03+00
1113452,Order,1354216,0.00,1,30.64,-30.64,cu-253581-bal-eshvyWGo0o,success,completed,2026-09-03 21:14:22+00,2026-09-03 21:14:22+00
1113453,Order,1354238,0.00,1,12.36,-12.36,pay_rxydrkabumeild32qvvwdiifty,success,completed,2026-09-03 21:15:35+00,2026-09-03 21:15:35+00
1113454,Order,1354240,0.00,1,9.89,-9.89,pay_elwh5pqblmnyzo7lvzjsrkkxlq,success,completed,2026-09-03 21:18:22+00,2026-09-03 21:18:22+00
